millis,stamp,datetime,accX,accY,accZ
83561, 1706974788, "2024/2/3 15:39:48",  21,  20,  1002
83811, 1706974788, "2024/2/3 15:39:48",  20,  14,  1005
84061, 1706974788, "2024/2/3 15:39:48",  19,  16,  1004
84311, 1706974788, "2024/2/3 15:39:48",  19,  14,  1003
84561, 1706974789, "2024/2/3 15:39:49",  20,  19,  1006
84811, 1706974789, "2024/2/3 15:39:49",  20,  20,  1001
85061, 1706974789, "2024/2/3 15:39:49",  20,  13,  1002
85311, 1706974789, "2024/2/3 15:39:49",  16,  12,  1001
85561, 1706974790, "2024/2/3 15:39:50",  22,  11,  1009
85811, 1706974790, "2024/2/3 15:39:50",  15,  17,  1005
86061, 1706974790, "2024/2/3 15:39:50",  23,  15,  1003
86311, 1706974790, "2024/2/3 15:39:50",  23,  14,  1003
86561, 1706974791, "2024/2/3 15:39:51",  22,  14,  1006
86811, 1706974791, "2024/2/3 15:39:51",  21,  15,  1000
87061, 1706974791, "2024/2/3 15:39:51",  21,  18,  1000
87311, 1706974791, "2024/2/3 15:39:51",  19,  13,  1004
87561, 1706974792, "2024/2/3 15:39:52",  16,  19,  1005
87811, 1706974792, "2024/2/3 15:39:52",  15,  16,  1002
88061, 1706974792, "2024/2/3 15:39:52",  19,  8,  1005
88311, 1706974792, "2024/2/3 15:39:52",  19,  15,  1003
88561, 1706974793, "2024/2/3 15:39:53",  23,  16,  1003
88811, 1706974793, "2024/2/3 15:39:53",  20,  18,  1001
89061, 1706974793, "2024/2/3 15:39:53",  15,  13,  1000
89311, 1706974793, "2024/2/3 15:39:53",  18,  17,  999
89561, 1706974794, "2024/2/3 15:39:54",  16,  22,  1003
89811, 1706974794, "2024/2/3 15:39:54",  20,  15,  1007
90061, 1706974794, "2024/2/3 15:39:54",  20,  15,  1006
90311, 1706974794, "2024/2/3 15:39:54",  24,  17,  1002
90561, 1706974795, "2024/2/3 15:39:55",  16,  12,  1003
90811, 1706974795, "2024/2/3 15:39:55",  20,  13,  1007
91061, 1706974795, "2024/2/3 15:39:55",  18,  8,  1005
91311, 1706974795, "2024/2/3 15:39:55",  12,  14,  1007
91561, 1706974796, "2024/2/3 15:39:56",  17,  14,  1006
91811, 1706974796, "2024/2/3 15:39:56",  16,  13,  1005
92061, 1706974796, "2024/2/3 15:39:56",  24,  6,  1004
92311, 1706974796, "2024/2/3 15:39:56",  21,  19,  1006
92561, 1706974797, "2024/2/3 15:39:57",  23,  19,  1004
92811, 1706974797, "2024/2/3 15:39:57",  13,  19,  1004
93061, 1706974797, "2024/2/3 15:39:57",  9,  24,  1002
93312, 1706974797, "2024/2/3 15:39:57",  13,  15,  1006
93562, 1706974798, "2024/2/3 15:39:58",  19,  11,  1003
93812, 1706974798, "2024/2/3 15:39:58",  27,  7,  1007
94062, 1706974798, "2024/2/3 15:39:58",  24,  8,  1001
94312, 1706974798, "2024/2/3 15:39:58",  25,  13,  1002
94562, 1706974799, "2024/2/3 15:39:59",  18,  10,  1001
94812, 1706974799, "2024/2/3 15:39:59",  12,  17,  1001
95062, 1706974799, "2024/2/3 15:39:59",  11,  16,  1007
95312, 1706974799, "2024/2/3 15:39:59",  21,  17,  1004
95562, 1706974800, "2024/2/3 15:40:0",  23,  11,  1003
95812, 1706974800, "2024/2/3 15:40:0",  22,  15,  1005
96062, 1706974800, "2024/2/3 15:40:0",  19,  15,  1008
96312, 1706974800, "2024/2/3 15:40:0",  17,  16,  1000
96562, 1706974801, "2024/2/3 15:40:1",  22,  18,  1004
96812, 1706974801, "2024/2/3 15:40:1",  16,  15,  1001
97062, 1706974801, "2024/2/3 15:40:1",  17,  11,  1007
97312, 1706974801, "2024/2/3 15:40:1",  20,  18,  1008
97562, 1706974802, "2024/2/3 15:40:2",  21,  9,  1005
97812, 1706974802, "2024/2/3 15:40:2",  20,  12,  1008
98062, 1706974802, "2024/2/3 15:40:2",  17,  13,  1000
98312, 1706974802, "2024/2/3 15:40:2",  19,  14,  1002
98562, 1706974803, "2024/2/3 15:40:3",  19,  15,  1006
98812, 1706974803, "2024/2/3 15:40:3",  16,  14,  1003
99062, 1706974803, "2024/2/3 15:40:3",  18,  23,  1003
99312, 1706974803, "2024/2/3 15:40:3",  21,  13,  1004
99562, 1706974804, "2024/2/3 15:40:4",  20,  12,  1005
99812, 1706974804, "2024/2/3 15:40:4",  21,  7,  1005
100062, 1706974804, "2024/2/3 15:40:4",  20,  19,  1001
100312, 1706974804, "2024/2/3 15:40:4",  19,  16,  1004
100562, 1706974805, "2024/2/3 15:40:5",  20,  16,  1003
100812, 1706974805, "2024/2/3 15:40:5",  21,  17,  1003
101062, 1706974805, "2024/2/3 15:40:5",  20,  14,  1002
101312, 1706974805, "2024/2/3 15:40:5",  14,  14,  1007
101562, 1706974806, "2024/2/3 15:40:6",  5,  8,  1019
101812, 1706974806, "2024/2/3 15:40:6",  20,  17,  1002
102062, 1706974806, "2024/2/3 15:40:6",  20,  20,  1002
102312, 1706974806, "2024/2/3 15:40:6",  16,  12,  1004
102562, 1706974807, "2024/2/3 15:40:7",  21,  14,  1004
102812, 1706974807, "2024/2/3 15:40:7",  20,  15,  1006
103062, 1706974807, "2024/2/3 15:40:7",  21,  16,  1003
103312, 1706974807, "2024/2/3 15:40:7",  19,  12,  1004
103562, 1706974808, "2024/2/3 15:40:8",  15,  15,  1005
103812, 1706974808, "2024/2/3 15:40:8",  20,  21,  1002
104062, 1706974808, "2024/2/3 15:40:8",  24,  19,  1006
104312, 1706974808, "2024/2/3 15:40:8",  25,  16,  1003
104562, 1706974809, "2024/2/3 15:40:9",  26,  13,  1008
104812, 1706974809, "2024/2/3 15:40:9",  20,  15,  1005
105062, 1706974809, "2024/2/3 15:40:9",  17,  15,  1003
105312, 1706974809, "2024/2/3 15:40:9",  19,  20,  1004
105562, 1706974810, "2024/2/3 15:40:10",  22,  16,  1006
